id,stcnttr,name,addr,level,dist,score
Census Tract 1130,Census Tract 1130,NoSuchElementException,0,0,0,0
Census Tract 124.01,Census Tract 124.01,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,0.44 miles,Compare
Census Tract 124.01,Census Tract 124.01,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,0.73 miles,Compare
Census Tract 124.01,Census Tract 124.01,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,1.16 miles,Compare
Census Tract 124.01,Census Tract 124.01,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,1.49 miles,8
Census Tract 124.01,Census Tract 124.01,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,1.63 miles,3
Census Tract 124.01,Census Tract 124.01,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,1.63 miles,5
Census Tract 124.01,Census Tract 124.01,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,1.63 miles,3
Census Tract 124.01,Census Tract 124.01,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,1.66 miles,Compare
Census Tract 124.01,Census Tract 124.01,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,1.66 miles,8
Census Tract 124.01,Census Tract 124.01,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,1.69 miles,4
Census Tract 124.01,Census Tract 124.01,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,2.27 miles,Compare
Census Tract 124.01,Census Tract 124.01,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,3.19 miles,10
Census Tract 124.01,Census Tract 124.01,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,3.19 miles,5
Census Tract 124.01,Census Tract 124.01,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,3.37 miles,4
Census Tract 124.01,Census Tract 124.01,S.F. County Special Education School,"750 25th Ave, San Francisco, CA 94121",K-12,3.81 miles,Compare
Census Tract 124.01,Census Tract 124.01,Washington (George) High School,"600 32nd Avenue, San Francisco, CA 94121",9-12,4.21 miles,8
Census Tract 124.01,Census Tract 124.01,Burton (Phillip And Sala) Academic High School,"400 Mansell Street, San Francisco, CA 94134",9-12,4.37 miles,5
